x_m,y_m,s_m
8.05512,6.21319,15.91782
8.04685,6.19611,15.93782
8.03896,6.18017,15.95782
8.03047,6.16349,15.97781
8.02229,6.14740,15.99781
8.01389,6.13161,16.01781
8.00481,6.11456,16.03781
7.99589,6.09801,16.05781
7.98663,6.08108,16.07780
7.97835,6.06589,16.09780
7.96979,6.05112,16.11780
7.96025,6.03469,16.13780
7.95101,6.01903,16.15779
7.94122,6.00281,16.17779
7.93162,5.98687,16.19779
7.92187,5.97115,16.21779
7.91206,5.95535,16.23778
7.90296,5.94106,16.25778
7.89292,5.92585,16.27778
7.88293,5.91069,16.29778
7.87277,5.89583,16.31777
7.86239,5.88067,16.33777
7.85290,5.86718,16.35777
7.84228,5.85269,16.37776
7.83403,5.84130,16.39776
7.82540,5.83085,16.41776
7.81485,5.81802,16.43776
7.80626,5.80809,16.45774
7.79530,5.79638,16.47774
7.78664,5.78692,16.49774
7.77770,5.77863,16.51773
7.76627,5.76791,16.53773
7.75784,5.76050,16.55772
7.74614,5.75123,16.57771
7.73675,5.74357,16.59771
7.72725,5.73719,16.61770
7.71437,5.72839,16.63770
7.70495,5.72239,16.65768
7.69197,5.71504,16.67768
7.68137,5.70883,16.69768
7.67084,5.70388,16.71767
7.65650,5.69702,16.73767
7.64568,5.69224,16.75766
7.63141,5.68672,16.77766
7.61936,5.68190,16.79765
7.60754,5.67822,16.81765
7.59155,5.67318,16.83765
7.57839,5.66937,16.85764
7.56251,5.66536,16.87763
7.54858,5.66175,16.89763
7.53490,5.65906,16.91763
7.51779,5.65567,16.93762
7.50302,5.65303,16.95762
7.48610,5.65048,16.97762
7.46988,5.64799,16.99761
7.45387,5.64611,17.01761
7.43591,5.64400,17.03761
7.41982,5.64236,17.05760
7.40210,5.64091,17.07760
7.38487,5.63947,17.09760
7.36784,5.63850,17.11760
7.34896,5.63744,17.13759
7.33101,5.63657,17.15759
7.31220,5.63586,17.17759
7.29408,5.63516,17.19759
7.27611,5.63478,17.21758
7.25656,5.63439,17.23758
7.23723,5.63405,17.25758
7.21763,5.63378,17.27758
7.19763,5.63350,17.29758
7.17764,5.63322,17.31757
7.15774,5.63294,17.33757
7.13797,5.63268,17.35757
7.11810,5.63244,17.37757
7.09790,5.63220,17.39756
7.07768,5.63192,17.41756
7.05776,5.63164,17.43756
7.03799,5.63138,17.45756
7.01812,5.63114,17.47756
6.99813,5.63090,17.49755
6.97813,5.63066,17.51755
6.95804,5.63042,17.53755
6.93782,5.63016,17.55755
6.91769,5.62988,17.57754
6.89790,5.62960,17.59754
6.87813,5.62936,17.61754
6.85806,5.62912,17.63754
6.83784,5.62886,17.65754
6.81771,5.62858,17.67753
6.79792,5.62830,17.69753
6.77815,5.62806,17.71753
6.75808,5.62782,17.73753
6.73786,5.62756,17.75752
6.71773,5.62728,17.77752
6.69773,5.62700,17.79752
6.67774,5.62672,17.81752
6.65433,5.62637,17.83752
6.62626,5.62510,17.85750
6.60165,5.62302,17.87750
6.56600,5.61938,17.89750
6.52964,5.61155,17.91748
6.50134,5.60452,17.93748
6.46501,5.59283,17.95741
6.43696,5.58120,17.97741
6.40283,5.56600,17.99740
6.36965,5.54619,18.01738
6.34458,5.53005,18.03738
6.31296,5.50622,18.05731
6.28987,5.48545,18.07730
6.26284,5.45979,18.09730
6.23834,5.43028,18.11728
6.22034,5.40714,18.13728
6.19897,5.37526,18.15721
6.18425,5.34894,18.17721
6.16643,5.31492,18.19721
6.15268,5.27812,18.21719
6.14328,5.25026,18.23719
6.13363,5.21292,18.25712
6.12846,5.18331,18.27712
6.12333,5.14992,18.29712
6.12145,5.11568,18.31711
6.12060,5.09330,18.33711
6.12010,5.06926,18.35710
6.12004,5.04710,18.37710
6.12000,5.02688,18.39710
6.12000,5.00666,18.41710
6.12000,4.98666,18.43709
6.12000,4.96666,18.45709
6.12000,4.94666,18.47709
6.12000,4.92666,18.49709
6.12000,4.90667,18.51708
6.12000,4.88667,18.53708
6.12000,4.86667,18.55708
