x_m,y_m,s_m
7.82635,8.86019,12.85837
7.82647,8.84032,12.87837
7.82659,8.82012,12.89836
7.82667,8.79989,12.91836
7.82675,8.77988,12.93836
7.82683,8.75988,12.95836
7.82691,8.73989,12.97836
7.82699,8.71989,12.99835
7.82707,8.69989,13.01835
7.82715,8.67989,13.03835
7.82723,8.65989,13.05835
7.82731,8.63990,13.07834
7.82739,8.61990,13.09834
7.82747,8.59990,13.11834
7.82755,8.58010,13.13834
7.82766,8.56055,13.15834
7.82782,8.54081,13.17833
7.82785,8.52691,13.19833
7.82877,8.51348,13.21833
7.82956,8.50021,13.23833
7.83016,8.49482,13.25828
7.83259,8.48328,13.27828
7.83633,8.46435,13.29828
7.84018,8.44549,13.31828
7.84360,8.42867,13.33827
7.84664,8.41542,13.35826
7.85086,8.39958,13.37826
7.85585,8.38069,13.39826
7.86092,8.36186,13.41826
7.86532,8.34541,13.43825
7.86906,8.33280,13.45824
7.87422,8.31754,13.47824
7.88036,8.29920,13.49824
7.88661,8.28096,13.51824
7.89208,8.26492,13.53823
7.89660,8.25272,13.55822
7.90276,8.23793,13.57822
7.90997,8.22049,13.59822
7.91732,8.20321,13.61822
7.92406,8.18735,13.63821
7.92974,8.17483,13.65820
7.93703,8.16010,13.67820
7.94488,8.14417,13.69820
7.95298,8.12857,13.71820
7.96119,8.11277,13.73820
7.96846,8.09937,13.75819
7.97710,8.08439,13.77819
7.98512,8.07037,13.79818
7.99352,8.05691,13.81818
8.00341,8.04108,13.83818
8.01286,8.02628,13.85818
8.02307,8.01071,13.87817
8.03081,7.99876,13.89817
8.03903,7.98764,13.91817
8.05016,7.97254,13.93817
8.06101,7.95804,13.95816
8.07249,7.94300,13.97816
8.08260,7.92972,13.99816
8.09297,7.91696,14.01816
8.10445,7.90286,14.03815
8.11494,7.89033,14.05815
8.12670,7.87683,14.07815
8.13856,7.86319,14.09814
8.15056,7.84988,14.11814
8.16321,7.83586,14.13814
8.17523,7.82278,14.15814
8.18805,7.80914,14.17813
8.20013,7.79627,14.19813
8.21236,7.78380,14.21813
8.22596,7.76997,14.23813
8.23936,7.75644,14.25812
8.25311,7.74269,14.27812
8.26683,7.72896,14.29812
8.28060,7.71535,14.31812
8.29459,7.70151,14.33812
8.30839,7.68793,14.35811
8.32243,7.67420,14.37811
8.33736,7.65960,14.39811
8.35223,7.64484,14.41811
8.36685,7.63031,14.43810
8.38185,7.61524,14.45810
8.39638,7.60046,14.47810
8.41164,7.58493,14.49810
8.42676,7.56907,14.51810
8.44162,7.55343,14.53809
8.45747,7.53632,14.55809
8.47208,7.52001,14.57809
8.48855,7.50154,14.59808
8.50454,7.48217,14.61808
8.51906,7.46437,14.63808
8.53507,7.44379,14.65807
8.54894,7.42484,14.67807
8.56447,7.40341,14.69807
8.57918,7.38079,14.71806
8.59216,7.36043,14.73806
8.60669,7.33595,14.75804
8.61850,7.31407,14.77804
8.63212,7.28835,14.79804
8.64425,7.26106,14.81803
8.65409,7.23802,14.83803
8.66487,7.20991,14.85801
8.67294,7.18539,14.87800
8.68214,7.15644,14.89800
8.68927,7.12607,14.91799
8.69482,7.10046,14.93799
8.70022,7.06836,14.95796
8.70315,7.04134,14.97796
8.70585,7.01441,14.99795
8.70710,6.98679,15.01795
8.70792,6.96363,15.03795
8.70825,6.93756,15.05794
8.70785,6.91409,15.07793
8.70738,6.88992,15.09793
8.70606,6.86545,15.11793
8.70472,6.84256,15.13793
8.70259,6.81656,15.15792
8.69999,6.79323,15.17791
8.69737,6.77022,15.19791
8.69412,6.74705,15.21791
8.69108,6.72585,15.23791
8.68762,6.70338,15.25790
8.68404,6.68211,15.27790
8.67998,6.65821,15.29790
8.67502,6.63412,15.31790
8.67060,6.61317,15.33789
8.66575,6.59119,15.35789
8.66087,6.57032,15.37789
8.65576,6.54854,15.39789
8.65017,6.52668,15.41788
8.64477,6.50581,15.43788
8.63869,6.48341,15.45788
8.63263,6.46242,15.47788
8.62640,6.44088,15.49787
8.61966,6.41928,15.51787
8.61342,6.39944,15.53787
8.60688,6.37904,15.55787
8.60039,6.35926,15.57786
8.59310,6.33715,15.59786
8.58513,6.31499,15.61786
8.57801,6.29543,15.63786
8.57063,6.27546,15.65785
8.56332,6.25605,15.67785
8.55542,6.23513,15.69785
8.54704,6.21419,15.71785
8.53919,6.19471,15.73784
8.53084,6.17445,15.75784
8.52263,6.15501,15.77784
8.51437,6.13549,15.79784
8.50586,6.11596,15.81784
8.49727,6.09630,15.83783
8.48772,6.07513,15.85783
8.47841,6.05536,15.87783
8.46940,6.03626,15.89782
8.46018,6.01716,15.91782
8.45101,5.99824,15.93782
8.44116,5.97833,15.95782
8.43151,5.95937,15.97781
8.42155,5.93982,15.99781
8.41118,5.92028,16.01781
8.40146,5.90204,16.03781
8.39141,5.88337,16.05781
8.38148,5.86522,16.07780
8.37058,5.84531,16.09780
8.35912,5.82546,16.11780
8.34857,5.80730,16.13780
8.33748,5.78852,16.15779
8.32662,5.77049,16.17779
8.31557,5.75218,16.19779
8.30425,5.73390,16.21779
8.29296,5.71572,16.23778
8.28057,5.69628,16.25778
8.26859,5.67811,16.27778
8.25656,5.65988,16.29778
8.24416,5.64172,16.31777
8.23193,5.62388,16.33777
8.21839,5.60468,16.35777
8.20539,5.58689,16.37776
8.19001,5.56601,16.39776
8.17335,5.54549,16.41776
8.15847,5.52745,16.43776
8.14086,5.50719,16.45774
8.12455,5.48963,16.47774
8.10594,5.46983,16.49774
8.08582,5.45066,16.51773
8.06803,5.43408,16.53773
8.04637,5.41517,16.55772
8.02681,5.39949,16.57771
8.00494,5.38222,16.59771
7.98151,5.36590,16.61770
7.96132,5.35220,16.63770
7.93698,5.33682,16.65768
7.91523,5.32433,16.67768
7.89110,5.31070,16.69768
7.86564,5.29823,16.71767
7.84387,5.28788,16.73767
7.81810,5.27658,16.75766
7.79512,5.26755,16.77766
7.76991,5.25782,16.79765
7.74365,5.24930,16.81765
7.72148,5.24235,16.83765
7.69623,5.23507,16.85764
7.67335,5.22922,16.87763
7.64852,5.22299,16.89763
7.62300,5.21777,16.91763
7.60086,5.21340,16.93762
7.57626,5.20903,16.95762
7.55365,5.20558,16.97762
7.53032,5.20207,16.99761
7.50662,5.19921,17.01761
7.48486,5.19668,17.03761
7.46116,5.19426,17.05760
7.43902,5.19243,17.07760
7.41639,5.19058,17.09760
7.39350,5.18923,17.11760
7.37244,5.18805,17.13759
7.35044,5.18699,17.15759
7.32929,5.18618,17.17759
7.30744,5.18536,17.19759
7.28542,5.18488,17.21758
7.26499,5.18447,17.23758
7.24432,5.18411,17.25758
7.22394,5.18382,17.27758
7.20394,5.18354,17.29758
7.18394,5.18326,17.31757
7.16385,5.18298,17.33757
7.14363,5.18272,17.35757
7.12350,5.18247,17.37757
7.10371,5.18224,17.39756
7.08394,5.18196,17.41756
7.06387,5.18168,17.43756
7.04365,5.18142,17.45756
7.02352,5.18117,17.47756
7.00353,5.18093,17.49755
6.98353,5.18069,17.51755
6.96363,5.18046,17.53755
6.94386,5.18020,17.55755
6.92399,5.17992,17.57754
6.90379,5.17964,17.59754
6.88357,5.17939,17.61754
6.86365,5.17916,17.63754
6.84388,5.17890,17.65754
6.82401,5.17862,17.67753
6.80381,5.17834,17.69753
6.78359,5.17810,17.71753
6.76367,5.17786,17.73753
6.74389,5.17760,17.75752
6.72403,5.17732,17.77752
6.70403,5.17704,17.79752
6.68404,5.17676,17.81752
6.66745,5.17656,17.83752
6.65559,5.17606,17.85750
6.64036,5.17469,17.87750
6.63616,5.17489,17.89750
6.63358,5.17372,17.91748
6.62303,5.17128,17.93748
6.62137,5.17087,17.95741
6.61259,5.16689,17.97741
6.60991,5.16648,17.99740
6.60914,5.16521,18.01738
6.60046,5.15987,18.03738
6.60019,5.15981,18.05731
6.59378,5.15358,18.07730
6.59132,5.15222,18.09730
6.59083,5.15055,18.11728
6.58411,5.14224,18.13728
6.58322,5.14105,18.15721
6.57868,5.13232,18.17721
6.57725,5.13128,18.19721
6.57773,5.13038,18.21719
6.57414,5.12041,18.23719
6.57376,5.11918,18.25712
6.57234,5.10933,18.27712
6.57090,5.10327,18.29712
6.57108,5.09756,18.31711
6.57041,5.07997,18.33711
6.57007,5.06404,18.35710
6.57004,5.04620,18.37710
6.57000,5.02642,18.39710
6.57000,5.00665,18.41710
6.57000,4.98666,18.43709
6.57000,4.96666,18.45709
6.57000,4.94666,18.47709
6.57000,4.92666,18.49709
6.57000,4.90667,18.51708
6.57000,4.88667,18.53708
6.57000,4.86667,18.55708
