x_m,y_m,s_m,track_width_m
7.90410,13.05576,8.57888,0.4500
7.89043,13.04117,8.59888,0.4500
7.87732,13.02607,8.61888,0.4500
7.86423,13.01094,8.63888,0.4500
7.85143,12.99559,8.65887,0.4500
7.83895,12.97996,8.67887,0.4500
7.82648,12.96433,8.69886,0.4500
7.81488,12.94804,8.71886,0.4500
7.80332,12.93172,8.73886,0.4500
7.79209,12.91518,8.75885,0.4500
7.78124,12.89838,8.77885,0.4500
7.77040,12.88158,8.79885,0.4500
7.76002,12.86448,8.81885,0.4500
7.74967,12.84737,8.83884,0.4500
7.73948,12.83017,8.85884,0.4500
7.72948,12.81285,8.87884,0.4500
7.71948,12.79553,8.89884,0.4500
7.71012,12.77786,8.91883,0.4500
7.70080,12.76017,8.93883,0.4500
7.69180,12.74231,8.95882,0.4500
7.68321,12.72425,8.97882,0.4500
7.67462,12.70619,8.99882,0.4500
7.66686,12.68777,9.01882,0.4500
7.65914,12.66932,9.03881,0.4500
7.65185,12.65071,9.05881,0.4500
7.64508,12.63189,9.07880,0.4500
7.63831,12.61307,9.09880,0.4500
7.63247,12.59394,9.11880,0.4500
7.62668,12.57480,9.13880,0.4500
7.62135,12.55554,9.15879,0.4500
7.61658,12.53611,9.17878,0.4500
7.61182,12.51669,9.19878,0.4500
7.60801,12.49706,9.21878,0.4500
7.60425,12.47742,9.23878,0.4500
7.60091,12.45771,9.25877,0.4500
7.59807,12.43791,9.27877,0.4500
7.59523,12.41812,9.29876,0.4500
7.59319,12.39823,9.31876,0.4500
7.59119,12.37833,9.33876,0.4500
7.58950,12.35841,9.35875,0.4500
7.58818,12.33845,9.37875,0.4500
7.58686,12.31850,9.39875,0.4500
7.58611,12.29851,9.41875,0.4500
7.58539,12.27853,9.43875,0.4500
7.58489,12.25854,9.45874,0.4500
7.58465,12.23854,9.47874,0.4500
7.58441,12.21855,9.49874,0.4500
7.58444,12.19855,9.51873,0.4500
7.58448,12.17855,9.53873,0.4500
7.58461,12.15855,9.55873,0.4500
7.58485,12.13856,9.57873,0.4500
7.58509,12.11856,9.59873,0.4500
7.58544,12.09857,9.61872,0.4500
7.58580,12.07857,9.63872,0.4500
7.58616,12.05858,9.65872,0.4500
7.58652,12.03858,9.67872,0.4500
7.58688,12.01859,9.69871,0.4500
7.58717,11.99859,9.71871,0.4500
7.58745,11.97860,9.73871,0.4500
7.58769,11.95860,9.75871,0.4500
7.58789,11.93860,9.77871,0.4500
7.58809,11.91861,9.79870,0.4500
7.58821,11.89861,9.81870,0.4500
